Code,City Code,Country Code
YUL,YMQ,CA
GVA,GVA,CH
KVK,KVK,RU
AGR,AGR,IN
JUJ,JUJ,AR
LOH,LOH,EC
YQB,YQB,CA
LZH,LZH,CN
CZS,CZS,BR
GYE,GYE,EC
GJT,GJT,US
USJ,USJ,KZ
TAS,TAS,UZ
PDX,PDX,US
AAR,AAR,DK
HGH,HGH,CN
HLP,JKT,ID
ARW,ARW,RO
JDO,JDO,BR
KKN,KKN,NO
CRZ,CRZ,TM
KRB,KRB,AU
FTA,FTA,VU
GAL,GAL,US
YVP,YVP,CA
YAG,YAG,CA
XJR,XJR,ES
STP,MSP,US
VVO,VVO,RU
PAE,PAE,US
KBL,KBL,AF
ABB,ABB,NG
MTJ,MTJ,US
NRL,NRL,GB
BJV,BJV,TR
RFP,RFP,PF
NKG,NKG,CN
SVX,SVX,RU
BVC,BVC,CV
FIR,FLR,IT
AMM,AMM,JO
VIL,VIL,MA
ZWU,WAS,US
PIT,PIT,US
PUQ,PUQ,CL
LED,LED,RU
VDT,MVD,UY
KIJ,KIJ,JP
OGL,OGL,GY
YZV,YZV,CA
IAM,IAM,DZ
HVN,HVN,US
JOI,JOI,BR
FUO,FUO,CN
CDR,CDR,US
JYV,JYV,FI
XJO,XJO,ES
MCM,MCM,MC
KCT,KCT,LK
INV,INV,GB
ZBV,EGE,US
RRS,RRS,NO
AVA,AVA,CN
LPY,LPY,FR
LSY,LSY,AU
VDH,VDH,VN
TGP,TGP,RU
BMV,BMV,VN
JIC,JIC,CN
JAU,JAU,PE
BOJ,BOJ,BG
YHZ,YHZ,CA
ZMI,NAP,IT
SOW,SOW,US
CEE,CEE,RU
SIP,SIP,KX
BLL,BLL,DK
KID,KID,SE
CGB,CGB,BR
AZN,AZN,UZ
ABV,ABV,NG
QGV,FRA,DE
DAV,DAV,PA
PRH,PRH,TH
HIB,HIB,US
SEN,LON,GB
BJI,BJI,US
SLU,SLU,LC
ELI,ELI,US
TBP,TBP,PE
CID,CID,US
CAN,CAN,CN
GRV,GRV,RU
YKL,YKL,CA
KLW,KLW,US
LHW,LHW,CN
SKU,SKU,GR
PKY,PKY,ID
ZRG,BTS,SK
MDW,CHI,US
DIB,DIB,IN
XIX,VRN,IT
KOY,KOY,US
IZO,IZO,JP
IQM,IQM,CN
DAC,DAC,BD
TMX,TMX,DZ
TNA,TNA,CN
MTY,MTY,MX
USK,USK,RU
VFA,VFA,ZW
BKS,BKS,ID
WYA,WYA,AU
MII,MII,BR
PRA,PRA,AR
GUW,GUW,KZ
VIE,VIE,AT
ZYP,NYC,US
CHQ,CHQ,GR
ZWH,WDH,NA
CPO,CPO,CL
YYC,YYC,CA
TZL,TZL,BA
PDV,PDV,BG
GTE,GTE,AU
WXN,WXN,CN
KIY,KIY,TZ
URY,URY,SA
MAN,MAN,GB
LPB,LPB,BO
MST,MST,NL
HRE,HRE,ZW
OOL,OOL,AU
ORB,ORB,SE
SPU,SPU,HR
PVU,PVU,US
MBJ,MBJ,JM
KUM,KUM,JP
YYZ,YTO,CA
HYD,HYD,IN
YSM,YSM,CA
TBB,TBB,VN
ZWS,STR,DE
BHJ,BHJ,IN
LRD,LRD,US
MXH,MXH,PG
MYG,MYG,BS
JNS,JNS,GL
NGO,NGO,JP
BHK,BHK,UZ
URG,URG,BR
KCH,KCH,MY
GCM,GCM,KY
BTK,BTK,RU
HBX,HBX,IN
PKC,PKC,RU
REX,REX,MX
AXM,AXM,CO
KIN,KIN,JM
SMS,SMS,MG
VEL,VEL,US
ZWE,ANR,BE
GIZ,GIZ,SA
LNJ,LNJ,CN
IVL,IVL,FI
HAM,HAM,DE
CHC,CHC,NZ
